drug_name,num_prescriber,total_cost
HARVONI,3415,3.967610638410002E9
CRESTOR,90509,1.7705360744099994E9
LANTUS SOLOSTAR,66207,1.4621896923600059E9
ADVAIR DISKUS,78662,1.3327193567800133E9
SPIRIVA,71007,1.2913689890999846E9
JANUVIA,61900,1.2470663776500118E9
REVLIMID,3543,1.2106694951200004E9
NEXIUM,70608,1.14896651273999E9
LANTUS,56925,1.051782594950005E9
LYRICA,67536,9.949843108599952E8
XARELTO,50300,8.494020628700032E8
ABILIFY,21790,8.414504409499995E8
COPAXONE,3466,8.06004792340002E8
ENBREL,4529,7.997975509900013E8
RENVELA,9569,7.51819785799998E8
ZETIA,51901,6.89193533049991E8
LEVEMIR FLEXTOUCH,37268,6.826314050400009E8
SYMBICORT,54198,6.735841497299998E8
HUMIRA PEN,5331,6.664349172099978E8
GLEEVEC,2930,6.458104150599985E8
SENSIPAR,9132,5.607792114799997E8
NAMENDA XR,31538,5.595850175299989E8
NOVOLOG FLEXPEN,29374,5.506156977700022E8
OXYCONTIN,25947,5.36892902559996E8
ELIQUIS,29800,5.1079387905000037E8
TECFIDERA,2075,5.0207822368000054E8
LEVOTHYROXINE SODIUM,148262,5.0012760315999824E8
SOVALDI,815,4.6718092696999973E8
HYDROCODONE-ACETAMINOPHEN,179943,4.6312948574000525E8
ATORVASTATIN CALCIUM,160673,4.5695078485000265E8
RESTASIS,17504,4.4986265571999973E8
DULOXETINE HCL,92491,4.4792925149000895E8
TRUVADA,4242,4.1377160959999985E8
ARIPIPRAZOLE,18226,4.1348572029999936E8
ZYTIGA,2037,4.0877814148000026E8
XTANDI,1802,3.9810690403999954E8
INVEGA SUSTENNA,5363,3.945414879699995E8
METOPROLOL SUCCINATE,124656,3.8515124270000046E8
NAMENDA,32109,3.4779616995000064E8
ATRIPLA,3394,3.4301496566000056E8
PROAIR HFA,109637,3.355284141299954E8
LATUDA,9305,3.240160710500002E8
VESICARE,32352,3.2348136877999854E8
HUMALOG KWIKPEN U-100,18752,3.2058893523999923E8
OXYCODONE-ACETAMINOPHEN,104558,3.186297860000012E8
SEROQUEL XR,13633,3.150615693E8
GABAPENTIN,162383,3.099046761699966E8
IMBRUVICA,1440,2.9944072590999967E8
NOVOLOG,21990,2.9323457932999945E8
PRADAXA,22620,2.875992526900008E8
LETAIRIS,1021,2.8667965452000034E8
OMEPRAZOLE,162479,2.8557440643000484E8
VICTOZA 3-PAK,11352,2.7734973437E8
TAMSULOSIN HCL,102338,2.6767846591999924E8
PRAVASTATIN SODIUM,110485,2.67621231199998E8
LUMIGAN,16284,2.6199083397000012E8
POTASSIUM CHLORIDE,109124,2.5854779204999828E8
EXELON,15215,2.5630280843999943E8
CELECOXIB,49579,2.5626393247999954E8
TRADJENTA,19442,2.5614857615000078E8
LEVEMIR,18736,2.504727432999991E8
PREZISTA,3320,2.4960405944999954E8
DEXILANT,26819,2.4137160647999823E8
ISENTRESS,3402,2.4090814947E8
JANUMET,19022,2.371781900199989E8
HUMALOG,19545,2.3081629770999965E8
FENOFIBRATE,62687,2.272716368899989E8
COMBIVENT RESPIMAT,26423,2.2418444456000233E8
RANEXA,15094,2.1870447016999784E8
FORTEO,3410,2.1711449829000023E8
BENICAR,29307,2.117767934299989E8
GILENYA,1054,2.1107728889000013E8
INVOKANA,14848,2.0735358673000056E8
TRACLEER,916,2.0361735685999998E8
TRAVATAN Z,17339,1.982882593400002E8
TARCEVA,1376,1.961578481799999E8
HUMIRA,2022,1.9577111328000003E8
FENTANYL,39747,1.923497389800011E8
CLOBETASOL PROPIONATE,22974,1.9070902374000037E8
LIDOCAINE,18371,1.906362738900003E8
MORPHINE SULFATE ER,36468,1.8782259350000072E8
BYSTOLIC,33152,1.8073406438999975E8
VALSARTAN,61090,1.8014829530000043E8
NOVOLOG MIX 70-30 FLEXPEN,9861,1.778271409800009E8
HYDROXYCHLOROQUINE SULFATE,14388,1.7768223476999936E8
GAMMAGARD LIQUID,652,1.7474663428000015E8
JAKAFI,925,1.745786452700001E8
H.P. ACTHAR,194,1.697513072000001E8
MYRBETRIQ,13333,1.6931249677000108E8
AMLODIPINE BESYLATE,161961,1.6883521429000172E8
SIMVASTATIN,142606,1.6724307927000123E8
DIVALPROEX SODIUM ER,25245,1.667306681400019E8
VIMPAT,6664,1.654968019299996E8
OXYCODONE HCL,65542,1.6452372713000104E8
OMEGA-3 ACID ETHYL ESTERS,25811,1.6428609034999916E8
LISINOPRIL,168430,1.624923307000012E8
AVONEX PEN,1321,1.6228525993000007E8
STRIBILD,1689,1.5786751415000004E8
AUBAGIO,782,1.5744445405000007E8
RISPERDAL CONSTA,4986,1.5721122044999972E8
CREON,7109,1.5682464280000025E8
XIFAXAN,4347,1.5460887115999985E8
AVONEX,1434,1.5444873058000022E8
PREMARIN,29950,1.522144609800008E8
SYNTHROID,61594,1.478573809599991E8
INVEGA,4927,1.471705230900002E8
POMALYST,596,1.4699480889999992E8
AFINITOR,758,1.4504511075000003E8
RALOXIFENE HCL,24912,1.450320787400001E8
REYATAZ,2670,1.4470232980999976E8
LOSARTAN POTASSIUM,130498,1.3902478610999814E8
REBIF,1183,1.370218616900001E8
OPSUMIT,517,1.3663104221999982E8
CLOPIDOGREL,115982,1.3625725772999966E8
WELCHOL,11615,1.3360991579999977E8
MULTAQ,7681,1.2714638665999958E8
TIVICAY,1947,1.2628452525999993E8
EPZICOM,2355,1.2574693775999987E8
TRIUMEQ,1384,1.2433259532999998E8
ESBRIET,609,1.2213052808000007E8
COMBIGAN,13016,1.2135220926000032E8
BETASERON,958,1.210679330000002E8
LINZESS,12979,1.2069586566999994E8
ADCIRCA,1108,1.1842669008000004E8
VOLTAREN,35844,1.1807546090999882E8
WARFARIN SODIUM,108496,1.1637918357000129E8
AVODART,15946,1.1537052918000032E8
BENICAR HCT,17679,1.153593254500004E8
METFORMIN HCL,132365,1.1382656037999932E8
QUETIAPINE FUMARATE,68185,1.136336986899997E8
SPRYCEL,782,1.1214739322000006E8
PANTOPRAZOLE SODIUM,122612,1.1178116984000027E8
ONGLYZA,11658,1.111268832299998E8
TASIGNA,789,1.109900475799998E8
AMITIZA,13548,1.0994433501000006E8
DONEPEZIL HCL,76568,1.098332968299995E8
VYTORIN,14728,1.0819453230999951E8
IBRANCE,566,1.0710033134000006E8
SUBOXONE,4915,1.0412825489000036E8
METHOTREXATE,16015,1.0316193242999974E8
AZILECT,3911,1.0295923404000017E8
NORVIR,4067,1.0117664933999996E8
DULERA,11838,9.952096087999895E7
PREDNISOLONE ACETATE,13746,9.904841368999954E7
SUBSYS,231,9.753031934999995E7
AMPYRA,1322,9.743858854000007E7
ALPHAGAN P,10052,9.652275305999996E7
XENAZINE,459,9.635953309999993E7
COMPLERA,1402,9.573315525999996E7
FLUTICASONE PROPIONATE,114961,9.550161394999932E7
ESOMEPRAZOLE MAGNESIUM,17162,9.262590992999975E7
ZOSTAVAX,9198,9.227518653999981E7
MONTELUKAST SODIUM,89267,9.219224977000068E7
OFEV,532,9.148204098E7
FLOVENT HFA,16125,8.956954032999988E7
METOPROLOL TARTRATE,138591,8.92135783999989E7
METFORMIN HCL ER,58528,8.853588666999932E7
HUMALOG MIX 75-25 KWIKPEN,5217,8.768503282E7
FUROSEMIDE,149936,8.738377257999875E7
ULORIC,11475,8.702582744000031E7
ANDROGEL,5912,8.648910381000003E7
EFFIENT,7820,8.62864245100001E7
ENOXAPARIN SODIUM,9615,8.557923954999967E7
VIREAD,3107,8.533710503000005E7
OXYBUTYNIN CHLORIDE ER,44882,8.481269054000065E7
ALLOPURINOL,93248,8.442040539999902E7
XYREM,464,8.318244946E7
PATADAY,11590,8.289259372999986E7
BD ULTRA-FINE PEN NEEDLE,48369,8.247754452999936E7
DOXYCYCLINE HYCLATE,48267,8.222311735000019E7
GAMUNEX-C,410,8.145574002000001E7
NASONEX,14879,8.133966538E7
ORENCIA,977,8.081621545999996E7
OPANA ER,3965,8.016117745999987E7
TOLTERODINE TARTRATE ER,17583,7.915912096999961E7
ABILIFY MAINTENA,1749,7.800961350000013E7
PROCRIT,2523,7.755197064000008E7
LIALDA,4447,7.609226906E7
BUPROPION XL,49822,7.548666350000016E7
XELJANZ,951,7.442134348999989E7
DIVALPROEX SODIUM,35436,7.401871335000026E7
CARVEDILOL,113085,7.340132308000012E7
PRISTIQ ER,10835,7.32869532299997E7
VENTOLIN HFA,45361,7.32171578499999E7
NUEDEXTA,4363,7.283493149999988E7
QVAR,14760,7.176899461000039E7
HUMULIN R U-500,1598,7.163282930000006E7
AGGRENOX,9023,7.135604460000058E7
PROLASTIN C,455,6.978499736999997E7
LATANOPROST,34905,6.937962956000024E7
NIACIN ER,15301,6.935246269999994E7
VENLAFAXINE HCL ER,68170,6.923271232000001E7
VALSARTAN-HYDROCHLOROTHIAZIDE,49658,6.922821470000003E7
ESCITALOPRAM OXALATE,88478,6.897447180000006E7
DICLOFENAC SODIUM,33393,6.878174645999978E7
HUMULIN 70-30,9809,6.855644148000012E7
ENALAPRIL MALEATE,56992,6.82595476600002E7
AZOPT,6346,6.811648529000016E7
SERTRALINE HCL,115353,6.760659557999961E7
TIKOSYN,2600,6.64306378500001E7
TRAMADOL HCL,131927,6.6062796520000115E7
VICTOZA 2-PAK,6244,6.573677523000001E7
HYDROCHLOROTHIAZIDE,134987,6.5161478760000296E7
NOVOLOG MIX 70-30,5829,6.5056127200000204E7
ALPRAZOLAM,105521,6.470857412999902E7
NOVOLIN 70-30,12002,6.4676721319999985E7
BREO ELLIPTA,6621,6.3837302679999866E7
ADEMPAS,283,6.380380464E7
NEXAVAR,354,6.312305236000002E7
TIZANIDINE HCL,44542,6.304121503999965E7
OLANZAPINE,34067,6.2831164719999745E7
TOVIAZ,9513,6.276859538999985E7
CLOZAPINE,10899,6.193535686999985E7
INTELENCE,1686,6.098795253999995E7
ZIPRASIDONE HCL,14423,6.0190220799999915E7
ILEVRO,2746,5.975223203999999E7
FINASTERIDE,56840,5.9588576480000295E7
BUDESONIDE EC,3458,5.89412271099998E7
ECONAZOLE NITRATE,7192,5.884978672000009E7
RAPAFLO,6000,5.884702493000013E7
FLUOXETINE HCL,87225,5.869717115999956E7
LEVETIRACETAM,43364,5.861323195E7
ZOLPIDEM TARTRATE,99150,5.841238080999924E7
VALGANCICLOVIR HCL,807,5.8026501109999985E7
MIRTAZAPINE,66560,5.7483137249999754E7
ISOSORBIDE MONONITRATE ER,68082,5.723922597999954E7
ATENOLOL,110671,5.635941850000001E7
CHLORPROMAZINE HCL,5136,5.6164060480000034E7
PROLIA,2077,5.566071495000001E7
DUREZOL,3891,5.557188028000006E7
